,lambda_l1,lambda_l2,num_leaves,learning_rate,max_depth,min_child_samples,num_iterations
31,9.372886736365193e-07,1.7242543045405324e-06,235,0.003893399957239735,4,86,495
32,1.813261125501888e-05,3.908692250381364e-07,194,0.015054033048991817,4,152,526
33,0.00012631092600578732,2.748053824023518e-06,243,0.0010307977673540177,4,40,469
34,4.1234540713525324e-05,2.6040796318477485e-07,245,0.01681502427734226,3,40,295
35,0.00012138254181949564,2.6284964803400082e-08,212,0.007492647147628614,5,59,574
36,2.104181727544264e-05,1.4896037278526051e-06,241,0.015239640328007986,6,54,429
37,9.879555126677578e-06,5.800552375316488e-08,126,0.007959404861180198,4,71,346
38,5.36640933923085e-05,1.2076736280965669e-08,256,0.02148881720532569,6,40,249
39,0.0725950083823399,1.6902302708904866e-07,207,0.029943215922256825,3,65,540
40,0.001740872644699217,4.263059010107676e-08,218,0.0010893115293236124,4,31,465
41,0.0011731968561061008,3.437568154365602e-08,219,0.0012771703240563835,4,30,469
42,0.001230450949498831,3.383852903122147e-08,217,0.00695877276684037,5,31,392
43,0.006366170908224869,6.176131754655451e-08,194,0.013703683488193546,4,41,326
44,0.0016453762443672136,5.970674199681164e-07,204,0.006321696892007735,4,30,456
45,0.0002678225262975512,1.385460055194233e-07,185,0.0010010979996505798,5,43,638
46,0.007070922859393869,1.0457847369287076e-08,224,0.010946245606427185,4,200,527
47,0.028314302329070493,3.407957504047666e-08,241,0.0012153342061964824,4,51,431
48,0.021836350356882386,1.935117913237874e-08,241,0.005916916649948139,8,37,431
49,0.05460325202634309,3.729431412041389e-08,239,0.018452030312203306,5,59,576
50,0.0022797614470125576,4.053489705679811e-07,70,0.010983906325443169,4,81,710
51,0.008523768633808708,6.8600112450326e-08,218,0.0016971249420083406,4,52,401
52,0.000323294188960834,1.5867433807211198e-07,207,0.00562382027360846,4,48,274
53,0.027759454348890798,3.8071004984317935e-08,5,0.0058064258973356455,4,36,454
54,0.0011100303964264274,1.0888358712050885e-06,246,0.008950156376229002,4,64,500
55,0.01169792724439991,2.715401442702656e-07,227,0.0016390967811649002,5,30,368
56,0.1276832096234317,2.9975418854130744e-07,228,0.015605840008219459,5,31,430
57,0.003169673119507356,2.8016995648146118e-08,223,0.0010671136609678368,5,44,308
58,0.003004509320458419,2.213619448318358e-08,34,0.011563725248262505,6,44,166
59,0.0034247115898526368,6.912925270229542e-08,215,0.005030050646944484,3,59,321
60,0.7167880072090753,1.137402979219747e-08,246,0.013322829715528513,5,96,474
61,0.012082210885177535,4.8833552968210866e-08,226,0.004048942265316305,5,36,388
62,0.012474872873718358,2.351065122665836e-08,237,0.00138800390624965,5,30,274
63,0.031720629768706606,2.2687123859268242e-08,236,0.009336211452691404,7,44,212
64,0.000686161963921218,9.717115299440024e-08,203,0.005006531251879016,4,37,268
65,0.005142537546665966,3.3004094513647965e-08,248,0.0015073040077245724,5,53,314
66,0.004898697800815809,1.0048224151185943e-08,250,0.008740416639582058,5,72,305
67,0.010608607130972175,9.80704516113158e-08,236,0.004504327470699052,5,53,217
68,0.002329912806896947,2.58009721867938e-08,246,0.01675117772656891,6,171,148
69,0.03452610738530678,3.04811626273073e-06,165,0.011867822346649067,5,48,238
70,0.01787839707847419,7.79636283826501e-07,107,0.0011799566880951555,5,60,332
71,0.022218918396997352,6.168569023744598e-07,105,0.0011557310642452503,6,57,340
72,0.012741020271781412,1.0906318943464946e-06,119,0.008441078332602235,6,55,341
73,0.005769532124749865,4.953650420971914e-07,96,0.0036300366771729806,6,69,300
74,0.06655156798704924,1.4582707038035098e-07,86,0.0036823300020258705,5,61,345
75,0.022482990970179275,2.2454499655046783e-07,104,0.007166168585095573,6,40,413
76,0.004511589527978566,9.020365547039222e-07,135,0.013031958156696853,6,51,912
77,0.002298136049360284,2.9422064847359143e-06,115,0.0010271602124030871,5,77,274
78,0.015850504610196058,2.7076450311469853e-06,98,0.009663863249798947,7,80,254
79,0.0005294134930798496,6.146380495560617e-07,111,0.006481411167964198,5,77,273
80,0.0016468415878399688,1.5228413752460384e-05,75,0.0035734615638285455,5,35,123
81,0.002015323500859687,1.0103861476617452e-05,72,0.003602399699764441,5,44,179
82,0.0015913689919107282,2.6629392794281227e-05,145,0.0011894698590094596,5,36,129
83,0.0015175503681944154,2.7776745985791927e-05,121,0.0010182256962135918,5,35,117
84,0.001195233783559352,2.2315560877927838e-05,126,0.004399709258364591,5,35,102
85,0.0008063428527904887,2.6702100343004413e-05,119,0.007405361836765337,5,37,143
86,0.0014706721378814006,3.468675873953473e-05,146,0.004219014465965765,5,46,109
87,0.002961861580159469,1.1963150383186376e-05,130,0.010435681130758932,5,34,120
88,0.007747834634328124,7.6218675502817605e-06,87,0.0061628411990178045,5,34,195
89,0.0009670958343646454,4.59130496118347e-06,143,0.014832480469062057,5,63,141
90,0.0004020123848282135,1.76465958880715e-05,120,0.003632286290836525,6,41,229
91,0.00023114950581407372,9.110765045047613e-05,102,0.0029972373169723588,5,41,128
92,0.0006408210811564274,7.13103034358027e-05,76,0.00789590263974739,5,47,127
93,0.00019833650526733632,8.463684818543199e-05,60,0.003434117120102405,5,39,195
94,0.00020761430212393192,0.00013049446519778645,126,0.005775198611528752,5,34,160
95,0.001451529067059458,4.3096541986464195e-05,104,0.01097563542264755,5,56,113
96,0.0034417127496044943,1.7251205445570042e-05,115,0.0010809928657695292,5,42,136
97,0.0033288649127280593,2.1571089512958783e-05,116,0.0030335427393397237,6,34,185
98,0.00042840728037206243,5.660042848280951e-05,100,0.008190540170057457,5,43,102
99,0.0021664284623192044,2.5931620923365997e-05,135,0.005481517546588608,5,48,156
