mean_val_loss1, mean_sub_loss1, mean_val_loss2, mean_sub_loss_2
1.642411532303604, 3.1727750894196234, 1.4563051586751274, 2.9075661335019904
1.6630255544899228, 3.216589534386412, 1.4859638815036318, 2.9878010640677775
1.7057801091936649, 3.326963933032831, 1.5566700893239844, 3.215933654698194
1.6796769305713617, 3.264702802293779, 1.516039019922804, 3.088930564002525
1.6912063244288853, 3.3063665816382453, 1.5397189931152402, 3.161787976404231
1.6468414135135334, 3.1877718536477806, 1.4534420009943665, 2.9047907971578604
1.6832087470929964, 3.2894980992469818, 1.5309245691811293, 3.1538694000476655
1.6858166643198471, 3.2950672211557808, 1.5337182417519792, 3.137568773602967
1.604752417992838, 3.076526407633368, 1.4569005263585664, 2.9087033190646956
1.6612466640669947, 3.209097582788816, 1.4958673459546141, 2.9966262460467785
1.6343366652148654, 3.155053161429226, 1.474969479896956, 2.945490903962989
1.6490489379549733, 3.1924675311008643, 1.4581261002861787, 2.9098828702283357
1.7063511180513158, 3.3440466253461363, 1.6004109121419552, 3.2830018760780026
1.6595802802858137, 3.2210228943947343, 1.4931066581470713, 3.0101356363202996
1.6564695664138003, 3.203567556669055, 1.485728220329642, 2.9958000669639215
1.6211424644311794, 3.11996753556334, 1.4606907758958059, 2.912596865190598
1.5995702575642234, 3.065911563771141, 1.4519522810869359, 2.9014861571730695
1.6251978994370204, 3.133672783670724, 1.4639868393508861, 2.921175166288817
1.6159952134736493, 3.1078231893740016, 1.4589632593303217, 2.913198572371563
1.6411667707686095, 3.1798201695156303, 1.474975972183876, 2.9525718867219055
1.6627448733103891, 3.2282475809868316, 1.4931272324233298, 3.0008803440306853
1.620891099543971, 3.1214720613100044, 1.4618160560956022, 2.9219468316270523
1.6071171088700755, 3.084851093717756, 1.4539600681872944, 2.905204886588255
1.6313279156608673, 3.1535151184895738, 1.47730848889937, 2.948178669209317
1.6434543751924133, 3.1788523511228592, 1.4898979608776528, 2.9818768904363475
1.6332315657277203, 3.1491173492549747, 1.472069072247265, 2.936353150941223
1.6261531339698432, 3.1366890872505766, 1.46518371273773, 2.9222401968906797
1.6012305363305677, 3.0693541296282314, 1.454357515024709, 2.904078556176164
1.6527323160505272, 3.1960212840237676, 1.4843429483857706, 2.9767469328347573
1.6519609870876872, 3.1988827202240793, 1.4865285419732088, 2.9798843348154063
1.6401019864520459, 3.1632426223631906, 1.48144291772855, 2.9674471437548435
1.6276870313234153, 3.134622803955496, 1.4686949243551028, 2.929875131132118
