cfips, Loss
1001, 16.105824640708473
1003, 13.636572109249792
1005, 19.892111666204443
1007, 2.1115066138088037
1009, 18.229120748635182
1011, 4.558297562424015
1013, 106.12264616496194
1015, 0.5580302262439599
1017, 15.34616318619483
1019, 5.2200461472004775
1021, 27.507085512407027
1023, 46.64418222283679
1025, 23.066961089859905
1027, 12.47423589734358
1029, 11.0052285509856
1031, 5.751148661747601
1033, 2.654189566874362
1035, 49.66293689273923
1037, 45.4072172042405
1039, 10.587179909830214
1041, 21.347118273381717
1043, 9.113283075474213
1045, 31.621422391702463
1047, 27.408620868357904
1049, 6.287850885257591
1051, 30.34023830431781
1053, 14.976359025220473
1055, 19.13055270886629
1057, 53.02219323002235
1059, 42.58605406945652
1061, 14.870990233186202
1063, 12.768932310685322
1065, 38.839806449414205
1067, 12.837631525242827
1069, 0.7136374533991446
1071, 17.2793959607982
1073, 6.106702787400205
1075, 13.848579247144613
1077, 5.1325464285516045
1079, 14.10139926434286
1081, 2.190836166116607
1083, 4.842748116642766
1085, 35.4053227317697
1087, 7.275540180923863
1089, 4.351511998657517
1091, 5.559299620281811
1093, 31.02671247363596
1095, 5.843758201515011
1097, 6.513720851516486
1099, 9.677721941325949
1101, 1.5607002478648617
1103, 12.119801856943816
1105, 44.62126664807552
1107, 27.387190736501115
1109, 9.16776409330807
1111, 145.36118789697363
1113, 9.938351509166193
1115, 2.133932723233669
1117, 3.57188805551839
1119, 6.390878101852593
1121, 9.23720656181144
1123, 12.832827818331305
1125, 47.752517864973335
1127, 8.088885979310504
1129, 12.335796944057964
1131, 21.960472927932503
1133, 69.26532255944389
2013, 36.217403246185256
2016, 16.45918677684618
2020, 2.0209961790268025
2050, 24.38998295015473
2060, 24.74488448252164
2068, 2.5423447046317036
2070, 14.749108083135527
2090, 13.399516772639583
2100, 38.05511537370388
2105, 8.240550370163753
2110, 0.10925319654456837
2122, 12.820116677230004
2130, 13.676658309750156
2150, 5.882640055775143
2164, 71.67444623634589
2170, 6.573485949728395
2180, 9.23589318903941
2185, 16.34118785420789
2188, 27.355442437914128
2195, 12.650144456562373
2198, 18.264024227256808
2220, 7.656144598632703
2230, 24.045337289964095
2240, 26.722226202101893
2275, 20.2975358194204
2282, 48.859452848368186
2290, 29.2807257091703
4001, 2.8597188305439674
4003, 5.086118024560162
4005, 4.043130290431372
4007, 1.0512398381195225
4009, 6.108329439436759
4011, 4.9407180639099915
4012, 2.9281867285586034
4013, 3.550612076035143
4015, 1.226518274373668
4017, 4.464811191714291
4019, 1.9231841344986056
4021, 3.2234793074323727
4023, 17.87097784119612
4025, 1.3390955401167182
4027, 5.705569583310035
5001, 19.500388083265875
5003, 10.218300417408638
5005, 10.858347218466003
5007, 6.660145389030389
5009, 5.079252959981166
5011, 0.4523664296787175
5013, 48.06492055217392
5015, 19.676983139374116
5017, 31.608875871197622
5019, 13.260449087140946
5021, 8.769657595187095
5023, 16.659162935509343
5025, 9.601617509014545
5027, 13.239291861837701
5029, 51.07469544195177
5031, 11.980453145806802
5033, 7.782777966699222
5035, 15.443602677401245
5037, 12.959550499183667
5039, 22.769850043882954
5041, 2.326521685346032
5043, 3.70656643497656
5045, 0.7205346706138293
5047, 10.585218996250653
5049, 49.944719219669736
5051, 9.066354411656082
5053, 19.07448897473088
5055, 120.34433024683146
5057, 14.105082520501272
5059, 7.48947300629957
5061, 10.816076867741932
5063, 1.6377314044527067
5065, 30.055813031816964
5067, 7.4448890473694975
5069, 14.50636512915941
5071, 4.448186072882014
5073, 0.4699421163185137
5075, 24.932890572900604
5077, 28.8621791700759
5079, 37.848176596175385
5081, 53.93661946834521
5083, 20.56399811451227
5085, 8.910257544459748
5087, 9.733570307339619
5089, 37.911437201100995
5091, 19.669292506462025
5093, 32.34341994356636
5095, 19.58528704206183
5097, 1.2881328722474559
5099, 6.425759857405076
5101, 0.8393991781279354
5103, 26.317848394807065
5105, 3.8713750139015546
5107, 14.261858892469295
5109, 15.398988465304386
5111, 6.412154201422123
5113, 20.76327373149107
5115, 7.210683696799306
5117, 29.59514502495259
5119, 2.28074140504319
5121, 5.890776775604563
5123, 25.185525335218355
5125, 19.926233881371672
5127, 30.881474972351185
5129, 28.8191242204404
5131, 1.4345113729606607
5133, 8.27586075259476
5135, 0.6670760301753189
5137, 12.538979577227408
5139, 6.626134576176083
5141, 131.77829785540735
5143, 8.181413988470583
5145, 30.589144852970968
5147, 13.294343403387558
5149, 2.0454459122765902
6001, 6.975037283699392
6003, 26.411313631150453
6005, 77.31195740708667
6007, 5.525385800428699
6009, 7.024823705853733
6011, 13.66524845683131
6013, 0.1661433433127833
6015, 96.38003262016356
6017, 1.5492550370710236
6019, 6.502141798558609
6021, 11.409886179885461
6023, 12.72323257813677
6025, 4.192663077837174
6027, 17.327288123169176
6029, 8.816181643832568
6031, 15.185954054201106
6033, 2.2354417556907644
6035, 8.806104782263455
6037, 2.6040085274334945
6039, 38.480454334603984
6041, 0.9179076284473873
6043, 0.05206171357804089
6045, 4.7611138921454375
6047, 10.78720488039217
6049, 7.5350851540488515
6051, 12.77391819692148
6053, 9.451376762156448
6055, 3.2188338299659813
6057, 2.0237679625740386
6059, 1.099736753992726
6061, 0.46679052015545136
6063, 7.979230944528455
6065, 0.23164472148978435
6067, 7.656820107360862
6069, 14.7982586231237
6071, 2.8573884197579553
6073, 0.6311017726365908
6075, 8.296235230894823
6077, 16.10307179328884
6079, 4.346224730059527
6081, 7.098525925877295
6083, 11.483911216709032
6085, 7.770284663098137
6087, 10.75629924359847
6089, 6.0195633339832
