,lambda_l1,lambda_l2,num_leaves,learning_rate,max_depth,min_child_samples,num_iterations
0,0.00021665452422831724,2.540731235881178e-05,68,0.09775767483533081,3,81,490
1,6.852566218380583e-05,0.00013620846104045,85,0.007212143922872189,3,170,265
2,6.922391141975287e-05,0.030232884013543793,186,0.08261324577640497,5,153,394
3,1.392875263894022e-08,2.122579786918075,225,0.056875406266699326,6,130,491
4,0.00043104898057251474,7.132520861125711,104,0.04423651526900048,6,138,306
5,7.375322460162579e-07,0.7618582042891462,236,0.09114591541665379,8,76,341
6,5.895427788265239e-07,2.3601772604774153e-06,212,0.04312539652110068,5,147,421
7,0.06370980364434561,1.9159427943548812,253,0.06317381094146389,4,52,198
8,3.5586524555076076e-07,1.7875637192670795,92,0.017637184886231214,8,48,345
9,0.18191873564769515,0.009172307530282958,168,0.04444258069046853,5,62,433
10,0.003231364788518983,1.7614445036370064e-08,7,0.006361623369362017,3,197,114
11,9.095969327337828,1.0510470666115205e-08,5,0.004340062057371135,3,198,103
12,8.256815304163226,1.1995198789154062e-08,13,0.0013056550521253355,3,199,104
13,8.03400766435941,1.0416867464896596e-08,5,0.028875513798326015,4,195,118
14,6.687718779901929,4.118772977859301e-07,43,0.024340794420441878,4,173,190
15,0.19166505549597246,3.5936794023418234e-07,39,0.0071779720165184475,3,101,195
16,0.9099811174894887,8.741899407994054e-08,139,0.0019562195264601354,7,172,101
17,0.5979616029508122,1.8311436886095334e-07,138,0.030799572065401945,7,178,167
18,0.03275163606987095,5.018621618015774e-06,127,0.0714566280689474,7,113,254
19,0.006964644443948855,0.0016906483511710262,139,0.016693354842687243,7,167,551
20,1.6539784115143636,1.7305789721716618e-07,168,0.017460463026235155,6,181,261
21,1.7490772072597618,4.0713813824723826e-08,39,0.001870154928409154,4,200,107
22,1.3690128929542562,7.621868919619812e-08,44,0.001115912671185295,4,187,148
23,0.5277354999532459,2.4931750462955743e-06,71,0.014231030781001141,4,158,157
24,0.014254414603382734,5.2984633065630614e-08,59,0.03241625267962839,5,183,147
25,0.001909795362434185,2.3697357712513483e-05,108,0.0011148735247089633,7,183,234
26,1.8271708878780388,9.164641202818883e-07,24,0.011692846150806728,4,126,153
27,0.16639479047779107,5.7553361621278224e-08,121,0.023692759153670494,3,162,215
28,0.7022124007032162,2.5503135266753252e-05,158,0.03685097552411449,8,146,146
29,0.0567746062949241,2.3279850291262034e-05,60,0.022047299795636573,6,31,284
30,0.001018895352525205,1.0328838237817646e-07,22,0.010857039758625807,3,188,133
31,1.9129135512393933,3.1487380976325325e-08,42,0.001694608803996977,4,198,119
32,2.640125653521724,6.443990769205874e-07,81,0.008939782064451628,4,189,178
33,0.5216912068550141,2.9673287548156772e-08,24,0.004513847918061517,5,170,104
34,1.1547917931357906e-05,1.5267757159264044e-07,52,0.012234155558282247,3,175,220
35,3.700161795049628,0.0004516147067167068,192,0.0013785251451284048,4,190,130
36,9.639441837672553,0.00029294987478857906,201,0.09721961073818372,5,154,312
37,0.1414632153077648,0.0015128704425755614,182,0.019955934387377375,3,96,173
38,0.00013196717756576117,0.07269149269849501,197,0.008817744721087352,6,142,139
39,2.552085921084294e-05,9.13673053905516e-05,223,0.0713159133068931,5,163,481
40,0.01775115022197884,0.0019138643977555552,153,0.057317314629876465,4,130,378
41,3.321053302631122,1.645609239933166e-06,98,0.001264384271859883,4,191,130
42,3.485212870859796,3.3706019289783063e-06,102,0.0010483804412749595,4,188,131
43,3.563508094345005,5.705640355315898e-06,104,0.008120690730004822,4,187,133
44,0.2857025995085568,5.5897455747907936e-05,84,0.01319738965174885,3,191,206
45,3.1319357836679335e-08,1.922079953902525e-06,97,0.006462537457437413,4,191,239
46,4.904610957501877,6.943670712719084e-06,73,0.015385130877796879,3,179,175
47,0.07608007631884657,0.00039848993531089744,115,0.006377875051073032,5,151,128
48,4.164154384263346,0.019159122654902477,239,0.001112167784282079,4,200,189
49,1.0226174593737347,1.1168660466739931e-06,15,0.027689198767191767,3,165,156
